IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
13.224.167.239,4,4,0.00,62.40,0.00
13.33.156.250,4,4,0.00,63.66,0.00
13.32.63.47,4,4,0.00,64.08,0.00
13.32.35.176,4,4,0.00,64.28,0.00
13.226.120.114,4,4,0.00,64.29,0.00
13.33.178.107,4,4,0.00,64.51,0.00
13.224.156.76,4,4,0.00,64.61,0.00
13.33.170.207,4,4,0.00,64.86,0.00
13.33.179.19,4,4,0.00,64.89,0.00
13.33.180.104,4,4,0.00,64.97,0.00
13.33.181.229,4,4,0.00,65.05,0.00
13.33.168.144,4,4,0.00,65.25,0.00
13.33.171.119,4,4,0.00,65.27,0.00
13.33.157.107,4,4,0.00,65.60,0.00
13.224.158.177,4,4,0.00,65.63,0.00
13.32.34.150,4,4,0.00,65.68,0.00
13.224.153.60,4,4,0.00,65.83,0.00
13.32.32.238,4,4,0.00,65.93,0.00
13.226.114.65,4,4,0.00,66.04,0.00
13.227.55.192,4,4,0.00,66.09,0.00
13.224.155.144,4,4,0.00,66.09,0.00
13.226.113.212,4,4,0.00,66.19,0.00
13.227.53.1,4,4,0.00,66.21,0.00
13.33.183.12,4,4,0.00,66.35,0.00
13.226.127.191,4,4,0.00,66.50,0.00
13.224.164.189,4,4,0.00,66.51,0.00
13.33.182.142,4,4,0.00,66.52,0.00
13.224.165.234,4,4,0.00,66.59,0.00
13.226.122.62,4,4,0.00,66.60,0.00
13.33.176.29,4,4,0.00,66.62,0.00
13.224.166.183,4,4,0.00,66.67,0.00
13.33.169.178,4,4,0.00,66.68,0.00
13.226.126.68,4,4,0.00,66.78,0.00
13.33.177.122,4,4,0.00,66.78,0.00
13.224.161.120,4,4,0.00,67.27,0.00
13.224.160.104,4,4,0.00,67.48,0.00
13.227.54.73,4,4,0.00,67.59,0.00
13.33.142.219,4,4,0.00,67.67,0.00
13.224.159.51,4,4,0.00,67.72,0.00
204.246.169.205,4,4,0.00,67.78,0.00
13.226.115.78,4,4,0.00,67.98,0.00
54.192.18.129,4,4,0.00,68.00,0.00
54.192.20.39,4,4,0.00,68.01,0.00
13.32.37.36,4,4,0.00,68.07,0.00
13.226.112.141,4,4,0.00,68.15,0.00
13.32.38.201,4,4,0.00,68.19,0.00
54.192.19.215,4,4,0.00,68.19,0.00
13.226.121.195,4,4,0.00,68.42,0.00
13.224.157.2,4,4,0.00,68.51,0.00
13.226.125.82,4,4,0.00,68.79,0.00
13.226.124.160,4,4,0.00,68.84,0.00
13.226.123.143,4,4,0.00,68.94,0.00
13.224.162.250,4,4,0.00,69.01,0.00
13.32.33.2,4,4,0.00,69.05,0.00
13.224.154.204,4,4,0.00,69.34,0.00
13.32.39.217,4,4,0.00,69.87,0.00
54.192.23.225,4,4,0.00,70.16,0.00
54.192.22.108,4,4,0.00,70.38,0.00
13.32.36.111,4,4,0.00,72.33,0.00
54.192.21.59,4,4,0.00,74.01,0.00
54.192.16.209,4,4,0.00,74.26,0.00
54.192.17.20,4,4,0.00,74.35,0.00
13.224.251.5,4,4,0.00,92.68,0.00
13.227.253.202,4,4,0.00,92.77,0.00
13.227.251.128,4,4,0.00,93.05,0.00
13.225.2.31,4,4,0.00,93.14,0.00
13.227.250.169,4,4,0.00,93.35,0.00
18.65.209.133,4,4,0.00,93.62,0.00
13.33.33.206,4,4,0.00,94.28,0.00
13.32.50.54,4,4,0.00,94.36,0.00
13.225.0.137,4,4,0.00,94.37,0.00
18.65.194.76,4,4,0.00,94.40,0.00
13.227.241.95,4,4,0.00,95.31,0.00
13.227.240.86,4,4,0.00,95.35,0.00
13.227.243.236,4,4,0.00,95.39,0.00
13.224.252.186,4,4,0.00,95.49,0.00
13.224.254.140,4,4,0.00,95.50,0.00
18.65.182.178,4,4,0.00,95.59,0.00
18.65.177.143,4,4,0.00,95.89,0.00
13.33.10.27,4,4,0.00,96.46,0.00
13.35.13.188,4,4,0.00,96.58,0.00
13.35.12.99,4,4,0.00,96.59,0.00
13.225.4.232,4,4,0.00,96.60,0.00
18.65.215.22,4,4,0.00,96.75,0.00
13.227.230.218,4,4,0.00,96.93,0.00
13.225.170.92,4,4,0.00,96.93,0.00
18.65.201.227,4,4,0.00,97.06,0.00
13.35.19.227,4,4,0.00,97.12,0.00
13.224.249.126,4,4,0.00,97.18,0.00
13.227.228.144,4,4,0.00,97.26,0.00
13.225.183.218,4,4,0.00,97.66,0.00
13.224.253.211,4,4,0.00,98.05,0.00
13.224.255.18,4,4,0.00,98.08,0.00
3.165.96.180,4,4,0.00,98.40,0.00
13.225.7.23,4,4,0.00,98.51,0.00
13.32.48.46,4,4,0.00,98.54,0.00
13.35.8.52,4,4,0.00,98.55,0.00
13.33.9.187,4,4,0.00,98.55,0.00
13.225.1.222,4,4,0.00,98.59,0.00
13.35.9.213,4,4,0.00,98.67,0.00
13.227.255.33,4,4,0.00,98.89,0.00
13.33.45.208,4,4,0.00,98.99,0.00
13.35.18.223,4,4,0.00,99.33,0.00
13.227.231.226,4,4,0.00,99.35,0.00
18.65.222.212,4,4,0.00,99.37,0.00
13.224.250.126,4,4,0.00,99.37,0.00
13.33.88.163,4,4,0.00,99.38,0.00
13.35.15.6,4,4,0.00,99.38,0.00
13.35.20.110,4,4,0.00,99.44,0.00
13.35.21.73,4,4,0.00,99.82,0.00
13.227.254.194,4,4,0.00,99.89,0.00
13.225.3.156,4,4,0.00,99.98,0.00
18.65.190.125,4,4,0.00,99.99,0.00
